"","chromosome_name","mismatches","count","pathogen"
"151","Auto","3",58,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-16_12mer_3mis_hits.tsv"
"152","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-16_12mer_3mis_hits.tsv"
"153","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-17_12mer_3mis_hits.tsv"
"154","Auto","3",59,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-17_12mer_3mis_hits.tsv"
"155","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-18_12mer_3mis_hits.tsv"
"156","Auto","3",44,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-18_12mer_3mis_hits.tsv"
"157","X","3",6,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-18_12mer_3mis_hits.tsv"
"158","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"159","Auto","3",60,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"160","X","3",4,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"161","Y","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-19_12mer_3mis_hits.tsv"
"162","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-2_12mer_3mis_hits.tsv"
"163","Auto","3",52,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-2_12mer_3mis_hits.tsv"
"164","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-2_12mer_3mis_hits.tsv"
"165","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-20_12mer_3mis_hits.tsv"
"166","Auto","3",67,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-20_12mer_3mis_hits.tsv"
"167","X","3",10,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-20_12mer_3mis_hits.tsv"
"168","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-21_12mer_3mis_hits.tsv"
"169","Auto","3",62,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-21_12mer_3mis_hits.tsv"
"170","X","3",6,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-21_12mer_3mis_hits.tsv"
"171","Auto","3",64,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-22_12mer_3mis_hits.tsv"
"172","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-23_12mer_3mis_hits.tsv"
"173","Auto","3",56,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-23_12mer_3mis_hits.tsv"
"174","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-24_12mer_3mis_hits.tsv"
"175","Auto","3",62,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-24_12mer_3mis_hits.tsv"
"176","X","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-24_12mer_3mis_hits.tsv"
"177","X","3",7,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-24_12mer_3mis_hits.tsv"
"178","Auto","3",57,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-25_12mer_3mis_hits.tsv"
"179","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-25_12mer_3mis_hits.tsv"
"180","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-26_12mer_3mis_hits.tsv"
"181","Auto","3",69,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-26_12mer_3mis_hits.tsv"
"182","X","3",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-26_12mer_3mis_hits.tsv"
"183","Auto","2",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-27_12mer_3mis_hits.tsv"
"184","Auto","3",56,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-27_12mer_3mis_hits.tsv"
"185","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-27_12mer_3mis_hits.tsv"
"186","Auto","2",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-28_12mer_3mis_hits.tsv"
"187","Auto","3",63,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-28_12mer_3mis_hits.tsv"
"188","X","3",4,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-28_12mer_3mis_hits.tsv"
"189","Auto","2",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-29_12mer_3mis_hits.tsv"
"190","Auto","3",42,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-29_12mer_3mis_hits.tsv"
"191","X","3",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-29_12mer_3mis_hits.tsv"
"192","Y","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-29_12mer_3mis_hits.tsv"
"193","Auto","2",4,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-3_12mer_3mis_hits.tsv"
"194","Auto","3",73,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-3_12mer_3mis_hits.tsv"
"195","X","3",8,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-3_12mer_3mis_hits.tsv"
"196","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-30_12mer_3mis_hits.tsv"
"197","Auto","3",52,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-30_12mer_3mis_hits.tsv"
"198","Mitochondrion","3",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-30_12mer_3mis_hits.tsv"
"199","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-30_12mer_3mis_hits.tsv"
"200","Auto","2",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-4_12mer_3mis_hits.tsv"
"201","Auto","3",61,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-4_12mer_3mis_hits.tsv"
"202","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-4_12mer_3mis_hits.tsv"
"203","Y","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-4_12mer_3mis_hits.tsv"
"204","Auto","3",69,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-5_12mer_3mis_hits.tsv"
"205","X","3",6,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-5_12mer_3mis_hits.tsv"
"206","Auto","3",49,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-6_12mer_3mis_hits.tsv"
"207","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-6_12mer_3mis_hits.tsv"
"208","Auto","2",2,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-7_12mer_3mis_hits.tsv"
"209","Auto","3",74,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-7_12mer_3mis_hits.tsv"
"210","X","3",1,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-7_12mer_3mis_hits.tsv"
"211","Auto","3",66,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-8_12mer_3mis_hits.tsv"
"212","Auto","2",3,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-9_12mer_3mis_hits.tsv"
"213","Auto","3",58,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-9_12mer_3mis_hits.tsv"
"214","X","3",5,"Full_Scramble_Australian_bat_lyssavirus_UP000006934-9_12mer_3mis_hits.tsv"
"215","Auto","2",1,"Full_Scramble_Banna_virus_UP000000832-1_12mer_3mis_hits.tsv"
"216","Auto","3",90,"Full_Scramble_Banna_virus_UP000000832-1_12mer_3mis_hits.tsv"
"217","X","3",3,"Full_Scramble_Banna_virus_UP000000832-1_12mer_3mis_hits.tsv"
"218","Auto","2",7,"Full_Scramble_Banna_virus_UP000000832-10_12mer_3mis_hits.tsv"
"219","Auto","3",82,"Full_Scramble_Banna_virus_UP000000832-10_12mer_3mis_hits.tsv"
"220","X","3",4,"Full_Scramble_Banna_virus_UP000000832-10_12mer_3mis_hits.tsv"
"221","Y","3",1,"Full_Scramble_Banna_virus_UP000000832-10_12mer_3mis_hits.tsv"
"222","Auto","3",66,"Full_Scramble_Banna_virus_UP000000832-11_12mer_3mis_hits.tsv"
"223","X","3",4,"Full_Scramble_Banna_virus_UP000000832-11_12mer_3mis_hits.tsv"
"224","Auto","2",2,"Full_Scramble_Banna_virus_UP000000832-12_12mer_3mis_hits.tsv"
"225","Auto","3",96,"Full_Scramble_Banna_virus_UP000000832-12_12mer_3mis_hits.tsv"
"226","X","3",2,"Full_Scramble_Banna_virus_UP000000832-12_12mer_3mis_hits.tsv"
"227","Y","3",1,"Full_Scramble_Banna_virus_UP000000832-12_12mer_3mis_hits.tsv"
"228","Auto","2",1,"Full_Scramble_Banna_virus_UP000000832-13_12mer_3mis_hits.tsv"
"229","Auto","3",78,"Full_Scramble_Banna_virus_UP000000832-13_12mer_3mis_hits.tsv"
"230","Auto","3",74,"Full_Scramble_Banna_virus_UP000000832-14_12mer_3mis_hits.tsv"
"231","X","3",2,"Full_Scramble_Banna_virus_UP000000832-14_12mer_3mis_hits.tsv"
"232","Auto","3",66,"Full_Scramble_Banna_virus_UP000000832-15_12mer_3mis_hits.tsv"
"233","Auto","3",112,"Full_Scramble_Banna_virus_UP000000832-16_12mer_3mis_hits.tsv"
"234","X","3",3,"Full_Scramble_Banna_virus_UP000000832-16_12mer_3mis_hits.tsv"
"235","Y","3",1,"Full_Scramble_Banna_virus_UP000000832-16_12mer_3mis_hits.tsv"
"236","Auto","2",3,"Full_Scramble_Banna_virus_UP000000832-17_12mer_3mis_hits.tsv"
"237","Auto","3",70,"Full_Scramble_Banna_virus_UP000000832-17_12mer_3mis_hits.tsv"
"238","X","3",6,"Full_Scramble_Banna_virus_UP000000832-17_12mer_3mis_hits.tsv"
"239","Auto","3",71,"Full_Scramble_Banna_virus_UP000000832-18_12mer_3mis_hits.tsv"
"240","Y","3",2,"Full_Scramble_Banna_virus_UP000000832-18_12mer_3mis_hits.tsv"
"241","Auto","3",67,"Full_Scramble_Banna_virus_UP000000832-19_12mer_3mis_hits.tsv"
"242","X","3",7,"Full_Scramble_Banna_virus_UP000000832-19_12mer_3mis_hits.tsv"
"243","Auto","3",74,"Full_Scramble_Banna_virus_UP000000832-2_12mer_3mis_hits.tsv"
"244","X","3",4,"Full_Scramble_Banna_virus_UP000000832-2_12mer_3mis_hits.tsv"
"245","Auto","2",1,"Full_Scramble_Banna_virus_UP000000832-20_12mer_3mis_hits.tsv"
"246","Auto","3",75,"Full_Scramble_Banna_virus_UP000000832-20_12mer_3mis_hits.tsv"
"247","X","3",4,"Full_Scramble_Banna_virus_UP000000832-20_12mer_3mis_hits.tsv"
"248","Auto","2",2,"Full_Scramble_Banna_virus_UP000000832-21_12mer_3mis_hits.tsv"
"249","Auto","3",77,"Full_Scramble_Banna_virus_UP000000832-21_12mer_3mis_hits.tsv"
"250","Auto","3",84,"Full_Scramble_Banna_virus_UP000000832-22_12mer_3mis_hits.tsv"
"251","X","3",1,"Full_Scramble_Banna_virus_UP000000832-22_12mer_3mis_hits.tsv"
"252","Auto","2",1,"Full_Scramble_Banna_virus_UP000000832-23_12mer_3mis_hits.tsv"
"253","Auto","3",80,"Full_Scramble_Banna_virus_UP000000832-23_12mer_3mis_hits.tsv"
"254","X","3",2,"Full_Scramble_Banna_virus_UP000000832-23_12mer_3mis_hits.tsv"
"255","Auto","2",1,"Full_Scramble_Banna_virus_UP000000832-24_12mer_3mis_hits.tsv"
"256","Auto","3",65,"Full_Scramble_Banna_virus_UP000000832-24_12mer_3mis_hits.tsv"
"257","X","3",4,"Full_Scramble_Banna_virus_UP000000832-24_12mer_3mis_hits.tsv"
"258","Auto","2",3,"Full_Scramble_Banna_virus_UP000000832-25_12mer_3mis_hits.tsv"
"259","Auto","3",77,"Full_Scramble_Banna_virus_UP000000832-25_12mer_3mis_hits.tsv"
