"","cell_type","0","1","virus"
"3668","Early spermatids",1,1,"UP000008158"
"3669","Endometrial stromal cells",2,NA,"UP000008158"
"3670","Endothelial cells",2,NA,"UP000008158"
"3671","Enteroendocrine cells",2,NA,"UP000008158"
"3672","Erythroid cells",2,NA,"UP000008158"
"3673","Excitatory neurons",2,NA,"UP000008158"
"3674","Exocrine glandular cells",2,NA,"UP000008158"
"3675","Extravillous trophoblasts",1,1,"UP000008158"
"3676","Fibroblasts",2,NA,"UP000008158"
"3677","Gastric mucus-secreting cells",2,NA,"UP000008158"
"3678","Glandular and luminal cells",2,NA,"UP000008158"
"3679","Granulosa cells",2,NA,"UP000008158"
"3680","Hepatocytes",2,NA,"UP000008158"
"3681","Hofbauer cells",2,NA,"UP000008158"
"3682","Horizontal cells",2,NA,"UP000008158"
"3683","Inhibitory neurons",2,NA,"UP000008158"
"3684","Intestinal goblet cells",2,NA,"UP000008158"
"3685","Ionocytes",2,NA,"UP000008158"
"3686","Kupffer cells",2,NA,"UP000008158"
"3687","Langerhans cells",2,NA,"UP000008158"
"3688","Late spermatids",1,1,"UP000008158"
"3689","Leydig cells",2,NA,"UP000008158"
"3690","Lymphatic endothelial cells",2,NA,"UP000008158"
"3691","Macrophages",2,NA,"UP000008158"
"3692","Melanocytes",2,NA,"UP000008158"
"3693","Mesothelial cells",2,NA,"UP000008158"
"3694","Microglial cells",2,NA,"UP000008158"
"3695","Mucus glandular cells",2,NA,"UP000008158"
"3696","Muller glia cells",2,NA,"UP000008158"
"3697","NK-cells",2,NA,"UP000008158"
"3698","Oligodendrocyte precursor cells",2,NA,"UP000008158"
"3699","Oligodendrocytes",2,NA,"UP000008158"
"3700","Oocytes",2,NA,"UP000008158"
"3701","Ovarian stromal cells",2,NA,"UP000008158"
"3702","Pancreatic endocrine cells",2,NA,"UP000008158"
"3703","Paneth cells",2,NA,"UP000008158"
"3704","Peritubular cells",2,NA,"UP000008158"
"3705","Plasma cells",2,NA,"UP000008158"
"3706","Prostatic glandular cells",2,NA,"UP000008158"
"3707","Proximal enterocytes",2,NA,"UP000008158"
"3708","Proximal tubular cells",2,NA,"UP000008158"
"3709","Rod photoreceptor cells",2,NA,"UP000008158"
"3710","Salivary duct cells",2,NA,"UP000008158"
"3711","Schwann cells",2,NA,"UP000008158"
"3712","Secretory cells",2,NA,"UP000008158"
"3713","Serous glandular cells",2,NA,"UP000008158"
"3714","Sertoli cells",2,NA,"UP000008158"
"3715","Skeletal myocytes",2,NA,"UP000008158"
"3716","Smooth muscle cells",2,NA,"UP000008158"
"3717","Spermatocytes",2,NA,"UP000008158"
"3718","Spermatogonia",2,NA,"UP000008158"
"3719","Squamous epithelial cells",2,NA,"UP000008158"
"3720","Suprabasal keratinocytes",2,NA,"UP000008158"
"3721","Syncytiotrophoblasts",2,NA,"UP000008158"
"3722","T-cells",2,NA,"UP000008158"
"3723","Undifferentiated cells",2,NA,"UP000008158"
"3724","dendritic cells",2,NA,"UP000008158"
"3725","granulocytes",2,NA,"UP000008158"
"3726","monocytes",2,NA,"UP000008158"
"3727","Adipocytes",1,NA,"UP000008286"
"3728","Alveolar cells type 1",1,NA,"UP000008286"
"3729","Alveolar cells type 2",1,NA,"UP000008286"
"3730","Astrocytes",1,NA,"UP000008286"
"3731","B-cells",1,NA,"UP000008286"
"3732","Basal keratinocytes",1,NA,"UP000008286"
"3733","Basal prostatic cells",1,NA,"UP000008286"
"3734","Basal respiratory cells",1,NA,"UP000008286"
"3735","Basal squamous epithelial cells",1,NA,"UP000008286"
"3736","Bipolar cells",1,NA,"UP000008286"
"3737","Breast glandular cells",1,NA,"UP000008286"
"3738","Breast myoepithelial cells",1,NA,"UP000008286"
"3739","Cardiomyocytes",1,NA,"UP000008286"
"3740","Cholangiocytes",1,NA,"UP000008286"
"3741","Ciliated cells",1,NA,"UP000008286"
"3742","Club cells",1,NA,"UP000008286"
"3743","Collecting duct cells",1,NA,"UP000008286"
"3744","Cone photoreceptor cells",1,NA,"UP000008286"
"3745","Cytotrophoblasts",1,NA,"UP000008286"
"3746","Distal enterocytes",1,NA,"UP000008286"
"3747","Distal tubular cells",1,NA,"UP000008286"
"3748","Ductal cells",1,NA,"UP000008286"
"3749","Early spermatids",1,NA,"UP000008286"
"3750","Endometrial stromal cells",1,NA,"UP000008286"
"3751","Endothelial cells",1,NA,"UP000008286"
"3752","Enteroendocrine cells",1,NA,"UP000008286"
"3753","Erythroid cells",1,NA,"UP000008286"
"3754","Excitatory neurons",1,NA,"UP000008286"
"3755","Exocrine glandular cells",1,NA,"UP000008286"
"3756","Extravillous trophoblasts",1,NA,"UP000008286"
"3757","Fibroblasts",1,NA,"UP000008286"
"3758","Gastric mucus-secreting cells",1,NA,"UP000008286"
"3759","Glandular and luminal cells",1,NA,"UP000008286"
"3760","Granulosa cells",1,NA,"UP000008286"
"3761","Hepatocytes",1,NA,"UP000008286"
"3762","Hofbauer cells",1,NA,"UP000008286"
"3763","Horizontal cells",1,NA,"UP000008286"
"3764","Inhibitory neurons",NA,1,"UP000008286"
"3765","Intestinal goblet cells",1,NA,"UP000008286"
"3766","Ionocytes",1,NA,"UP000008286"
"3767","Kupffer cells",1,NA,"UP000008286"
"3768","Langerhans cells",1,NA,"UP000008286"
"3769","Late spermatids",1,NA,"UP000008286"
"3770","Leydig cells",1,NA,"UP000008286"
"3771","Lymphatic endothelial cells",1,NA,"UP000008286"
"3772","Macrophages",1,NA,"UP000008286"
"3773","Melanocytes",1,NA,"UP000008286"
"3774","Mesothelial cells",1,NA,"UP000008286"
"3775","Microglial cells",1,NA,"UP000008286"
"3776","Mucus glandular cells",1,NA,"UP000008286"
"3777","Muller glia cells",NA,1,"UP000008286"
"3778","NK-cells",1,NA,"UP000008286"
"3779","Oligodendrocyte precursor cells",NA,1,"UP000008286"
"3780","Oligodendrocytes",NA,1,"UP000008286"
"3781","Oocytes",NA,1,"UP000008286"
"3782","Ovarian stromal cells",1,NA,"UP000008286"
"3783","Pancreatic endocrine cells",1,NA,"UP000008286"
"3784","Paneth cells",1,NA,"UP000008286"
"3785","Peritubular cells",1,NA,"UP000008286"
"3786","Plasma cells",1,NA,"UP000008286"
"3787","Prostatic glandular cells",1,NA,"UP000008286"
"3788","Proximal enterocytes",1,NA,"UP000008286"
"3789","Proximal tubular cells",1,NA,"UP000008286"
"3790","Rod photoreceptor cells",1,NA,"UP000008286"
"3791","Salivary duct cells",1,NA,"UP000008286"
"3792","Schwann cells",1,NA,"UP000008286"
"3793","Secretory cells",1,NA,"UP000008286"
"3794","Serous glandular cells",NA,1,"UP000008286"
"3795","Sertoli cells",1,NA,"UP000008286"
"3796","Skeletal myocytes",1,NA,"UP000008286"
"3797","Smooth muscle cells",1,NA,"UP000008286"
"3798","Spermatocytes",1,NA,"UP000008286"
"3799","Spermatogonia",1,NA,"UP000008286"
"3800","Squamous epithelial cells",1,NA,"UP000008286"
"3801","Suprabasal keratinocytes",1,NA,"UP000008286"
"3802","Syncytiotrophoblasts",1,NA,"UP000008286"
"3803","T-cells",1,NA,"UP000008286"
"3804","Undifferentiated cells",1,NA,"UP000008286"
"3805","dendritic cells",1,NA,"UP000008286"
"3806","granulocytes",1,NA,"UP000008286"
"3807","monocytes",1,NA,"UP000008286"
"3808","Adipocytes",1,NA,"UP000007214"
"3809","Alveolar cells type 1",1,NA,"UP000007214"
"3810","Alveolar cells type 2",1,NA,"UP000007214"
"3811","Astrocytes",NA,1,"UP000007214"
"3812","B-cells",1,NA,"UP000007214"
"3813","Basal keratinocytes",1,NA,"UP000007214"
"3814","Basal prostatic cells",1,NA,"UP000007214"
"3815","Basal respiratory cells",1,NA,"UP000007214"
"3816","Basal squamous epithelial cells",1,NA,"UP000007214"
"3817","Bipolar cells",1,NA,"UP000007214"
"3818","Breast glandular cells",1,NA,"UP000007214"
"3819","Breast myoepithelial cells",1,NA,"UP000007214"
"3820","Cardiomyocytes",1,NA,"UP000007214"
"3821","Cholangiocytes",1,NA,"UP000007214"
"3822","Ciliated cells",1,NA,"UP000007214"
"3823","Club cells",1,NA,"UP000007214"
"3824","Collecting duct cells",1,NA,"UP000007214"
"3825","Cone photoreceptor cells",1,NA,"UP000007214"
"3826","Cytotrophoblasts",1,NA,"UP000007214"
"3827","Distal enterocytes",1,NA,"UP000007214"
"3828","Distal tubular cells",1,NA,"UP000007214"
"3829","Ductal cells",1,NA,"UP000007214"
"3830","Early spermatids",1,NA,"UP000007214"
"3831","Endometrial stromal cells",1,NA,"UP000007214"
"3832","Endothelial cells",1,NA,"UP000007214"
"3833","Enteroendocrine cells",1,NA,"UP000007214"
"3834","Erythroid cells",1,NA,"UP000007214"
"3835","Excitatory neurons",1,NA,"UP000007214"
"3836","Exocrine glandular cells",1,NA,"UP000007214"
"3837","Extravillous trophoblasts",1,NA,"UP000007214"
"3838","Fibroblasts",1,NA,"UP000007214"
"3839","Gastric mucus-secreting cells",1,NA,"UP000007214"
"3840","Glandular and luminal cells",1,NA,"UP000007214"
"3841","Granulosa cells",1,NA,"UP000007214"
"3842","Hepatocytes",1,NA,"UP000007214"
"3843","Hofbauer cells",1,NA,"UP000007214"
"3844","Horizontal cells",1,NA,"UP000007214"
"3845","Inhibitory neurons",1,NA,"UP000007214"
"3846","Intestinal goblet cells",1,NA,"UP000007214"
"3847","Ionocytes",1,NA,"UP000007214"
"3848","Kupffer cells",1,NA,"UP000007214"
"3849","Langerhans cells",1,NA,"UP000007214"
"3850","Late spermatids",1,NA,"UP000007214"
"3851","Leydig cells",1,NA,"UP000007214"
"3852","Lymphatic endothelial cells",1,NA,"UP000007214"
"3853","Macrophages",1,NA,"UP000007214"
"3854","Melanocytes",1,NA,"UP000007214"
"3855","Mesothelial cells",1,NA,"UP000007214"
"3856","Microglial cells",1,NA,"UP000007214"
"3857","Mucus glandular cells",1,NA,"UP000007214"
"3858","Muller glia cells",1,NA,"UP000007214"
"3859","NK-cells",1,NA,"UP000007214"
"3860","Oligodendrocyte precursor cells",NA,1,"UP000007214"
"3861","Oligodendrocytes",NA,1,"UP000007214"
"3862","Oocytes",1,NA,"UP000007214"
"3863","Ovarian stromal cells",1,NA,"UP000007214"
"3864","Pancreatic endocrine cells",1,NA,"UP000007214"
"3865","Paneth cells",1,NA,"UP000007214"
"3866","Peritubular cells",1,NA,"UP000007214"
"3867","Plasma cells",1,NA,"UP000007214"
"3868","Prostatic glandular cells",1,NA,"UP000007214"
"3869","Proximal enterocytes",1,NA,"UP000007214"
"3870","Proximal tubular cells",1,NA,"UP000007214"
"3871","Rod photoreceptor cells",1,NA,"UP000007214"
"3872","Salivary duct cells",1,NA,"UP000007214"
"3873","Schwann cells",1,NA,"UP000007214"
"3874","Secretory cells",1,NA,"UP000007214"
"3875","Serous glandular cells",1,NA,"UP000007214"
"3876","Sertoli cells",1,NA,"UP000007214"
"3877","Skeletal myocytes",1,NA,"UP000007214"
"3878","Smooth muscle cells",1,NA,"UP000007214"
"3879","Spermatocytes",1,NA,"UP000007214"
"3880","Spermatogonia",1,NA,"UP000007214"
"3881","Squamous epithelial cells",1,NA,"UP000007214"
"3882","Suprabasal keratinocytes",1,NA,"UP000007214"
"3883","Syncytiotrophoblasts",1,NA,"UP000007214"
"3884","T-cells",1,NA,"UP000007214"
"3885","Undifferentiated cells",1,NA,"UP000007214"
"3886","dendritic cells",1,NA,"UP000007214"
"3887","granulocytes",1,NA,"UP000007214"
"3888","monocytes",1,NA,"UP000007214"
"3889","Adipocytes",1,NA,"UP000008478"
"3890","Alveolar cells type 1",1,NA,"UP000008478"
"3891","Alveolar cells type 2",1,NA,"UP000008478"
"3892","Astrocytes",1,NA,"UP000008478"
"3893","B-cells",1,NA,"UP000008478"
"3894","Basal keratinocytes",1,NA,"UP000008478"
"3895","Basal prostatic cells",1,NA,"UP000008478"
"3896","Basal respiratory cells",1,NA,"UP000008478"
"3897","Basal squamous epithelial cells",1,NA,"UP000008478"
"3898","Bipolar cells",1,NA,"UP000008478"
"3899","Breast glandular cells",1,NA,"UP000008478"
"3900","Breast myoepithelial cells",1,NA,"UP000008478"
"3901","Cardiomyocytes",1,NA,"UP000008478"
"3902","Cholangiocytes",1,NA,"UP000008478"
"3903","Ciliated cells",1,NA,"UP000008478"
"3904","Club cells",1,NA,"UP000008478"
"3905","Collecting duct cells",1,NA,"UP000008478"
"3906","Cone photoreceptor cells",1,NA,"UP000008478"
"3907","Cytotrophoblasts",1,NA,"UP000008478"
"3908","Distal enterocytes",1,NA,"UP000008478"
"3909","Distal tubular cells",1,NA,"UP000008478"
"3910","Ductal cells",1,NA,"UP000008478"
"3911","Early spermatids",1,NA,"UP000008478"
"3912","Endometrial stromal cells",1,NA,"UP000008478"
"3913","Endothelial cells",1,NA,"UP000008478"
"3914","Enteroendocrine cells",1,NA,"UP000008478"
"3915","Erythroid cells",1,NA,"UP000008478"
"3916","Excitatory neurons",1,NA,"UP000008478"
"3917","Exocrine glandular cells",1,NA,"UP000008478"
"3918","Extravillous trophoblasts",1,NA,"UP000008478"
"3919","Fibroblasts",1,NA,"UP000008478"
"3920","Gastric mucus-secreting cells",1,NA,"UP000008478"
"3921","Glandular and luminal cells",1,NA,"UP000008478"
"3922","Granulosa cells",1,NA,"UP000008478"
"3923","Hepatocytes",1,NA,"UP000008478"
"3924","Hofbauer cells",1,NA,"UP000008478"
"3925","Horizontal cells",1,NA,"UP000008478"
"3926","Inhibitory neurons",1,NA,"UP000008478"
"3927","Intestinal goblet cells",1,NA,"UP000008478"
"3928","Ionocytes",1,NA,"UP000008478"
"3929","Kupffer cells",1,NA,"UP000008478"
"3930","Langerhans cells",1,NA,"UP000008478"
"3931","Late spermatids",NA,1,"UP000008478"
"3932","Leydig cells",1,NA,"UP000008478"
"3933","Lymphatic endothelial cells",1,NA,"UP000008478"
"3934","Macrophages",1,NA,"UP000008478"
"3935","Melanocytes",1,NA,"UP000008478"
"3936","Mesothelial cells",1,NA,"UP000008478"
"3937","Microglial cells",1,NA,"UP000008478"
"3938","Mucus glandular cells",1,NA,"UP000008478"
"3939","Muller glia cells",1,NA,"UP000008478"
"3940","NK-cells",1,NA,"UP000008478"
"3941","Oligodendrocyte precursor cells",1,NA,"UP000008478"
"3942","Oligodendrocytes",1,NA,"UP000008478"
"3943","Oocytes",1,NA,"UP000008478"
"3944","Ovarian stromal cells",1,NA,"UP000008478"
"3945","Pancreatic endocrine cells",1,NA,"UP000008478"
"3946","Paneth cells",1,NA,"UP000008478"
"3947","Peritubular cells",1,NA,"UP000008478"
"3948","Plasma cells",1,NA,"UP000008478"
"3949","Prostatic glandular cells",1,NA,"UP000008478"
"3950","Proximal enterocytes",1,NA,"UP000008478"
"3951","Proximal tubular cells",1,NA,"UP000008478"
"3952","Rod photoreceptor cells",1,NA,"UP000008478"
"3953","Salivary duct cells",1,NA,"UP000008478"
"3954","Schwann cells",1,NA,"UP000008478"
"3955","Secretory cells",1,NA,"UP000008478"
"3956","Serous glandular cells",1,NA,"UP000008478"
"3957","Sertoli cells",1,NA,"UP000008478"
"3958","Skeletal myocytes",1,NA,"UP000008478"
"3959","Smooth muscle cells",1,NA,"UP000008478"
"3960","Spermatocytes",1,NA,"UP000008478"
"3961","Spermatogonia",1,NA,"UP000008478"
"3962","Squamous epithelial cells",1,NA,"UP000008478"
"3963","Suprabasal keratinocytes",1,NA,"UP000008478"
"3964","Syncytiotrophoblasts",1,NA,"UP000008478"
"3965","T-cells",1,NA,"UP000008478"
"3966","Undifferentiated cells",1,NA,"UP000008478"
"3967","dendritic cells",1,NA,"UP000008478"
"3968","granulocytes",1,NA,"UP000008478"
"3969","monocytes",1,NA,"UP000008478"
"3970","Adipocytes",2,NA,"UP000138183"
"3971","Alveolar cells type 1",2,NA,"UP000138183"
"3972","Alveolar cells type 2",2,NA,"UP000138183"
"3973","Astrocytes",1,1,"UP000138183"
"3974","B-cells",2,NA,"UP000138183"
"3975","Basal keratinocytes",2,NA,"UP000138183"
"3976","Basal prostatic cells",2,NA,"UP000138183"
"3977","Basal respiratory cells",2,NA,"UP000138183"
"3978","Basal squamous epithelial cells",2,NA,"UP000138183"
"3979","Bipolar cells",2,NA,"UP000138183"
"3980","Breast glandular cells",2,NA,"UP000138183"
"3981","Breast myoepithelial cells",2,NA,"UP000138183"
"3982","Cardiomyocytes",2,NA,"UP000138183"
"3983","Cholangiocytes",2,NA,"UP000138183"
"3984","Ciliated cells",2,NA,"UP000138183"
"3985","Club cells",2,NA,"UP000138183"
"3986","Collecting duct cells",2,NA,"UP000138183"
"3987","Cone photoreceptor cells",2,NA,"UP000138183"
"3988","Cytotrophoblasts",2,NA,"UP000138183"
"3989","Distal enterocytes",2,NA,"UP000138183"
"3990","Distal tubular cells",2,NA,"UP000138183"
"3991","Ductal cells",2,NA,"UP000138183"
"3992","Early spermatids",2,NA,"UP000138183"
"3993","Endometrial stromal cells",2,NA,"UP000138183"
"3994","Endothelial cells",2,NA,"UP000138183"
"3995","Enteroendocrine cells",2,NA,"UP000138183"
"3996","Erythroid cells",2,NA,"UP000138183"
"3997","Excitatory neurons",2,NA,"UP000138183"
"3998","Exocrine glandular cells",2,NA,"UP000138183"
"3999","Extravillous trophoblasts",2,NA,"UP000138183"
"4000","Fibroblasts",2,NA,"UP000138183"
"4001","Gastric mucus-secreting cells",2,NA,"UP000138183"
"4002","Glandular and luminal cells",2,NA,"UP000138183"
"4003","Granulosa cells",2,NA,"UP000138183"
"4004","Hepatocytes",2,NA,"UP000138183"
"4005","Hofbauer cells",2,NA,"UP000138183"
"4006","Horizontal cells",2,NA,"UP000138183"
"4007","Inhibitory neurons",2,NA,"UP000138183"
"4008","Intestinal goblet cells",2,NA,"UP000138183"
"4009","Ionocytes",2,NA,"UP000138183"
"4010","Kupffer cells",2,NA,"UP000138183"
"4011","Langerhans cells",2,NA,"UP000138183"
"4012","Late spermatids",2,NA,"UP000138183"
"4013","Leydig cells",2,NA,"UP000138183"
"4014","Lymphatic endothelial cells",2,NA,"UP000138183"
"4015","Macrophages",2,NA,"UP000138183"
"4016","Melanocytes",2,NA,"UP000138183"
"4017","Mesothelial cells",2,NA,"UP000138183"
"4018","Microglial cells",2,NA,"UP000138183"
"4019","Mucus glandular cells",2,NA,"UP000138183"
"4020","Muller glia cells",2,NA,"UP000138183"
"4021","NK-cells",2,NA,"UP000138183"
"4022","Oligodendrocyte precursor cells",1,1,"UP000138183"
"4023","Oligodendrocytes",1,1,"UP000138183"
"4024","Oocytes",2,NA,"UP000138183"
"4025","Ovarian stromal cells",2,NA,"UP000138183"
"4026","Pancreatic endocrine cells",2,NA,"UP000138183"
"4027","Paneth cells",2,NA,"UP000138183"
"4028","Peritubular cells",2,NA,"UP000138183"
"4029","Plasma cells",2,NA,"UP000138183"
"4030","Prostatic glandular cells",2,NA,"UP000138183"
"4031","Proximal enterocytes",1,1,"UP000138183"
"4032","Proximal tubular cells",2,NA,"UP000138183"
"4033","Rod photoreceptor cells",2,NA,"UP000138183"
"4034","Salivary duct cells",2,NA,"UP000138183"
"4035","Schwann cells",2,NA,"UP000138183"
"4036","Secretory cells",2,NA,"UP000138183"
"4037","Serous glandular cells",2,NA,"UP000138183"
"4038","Sertoli cells",2,NA,"UP000138183"
"4039","Skeletal myocytes",2,NA,"UP000138183"
"4040","Smooth muscle cells",2,NA,"UP000138183"
"4041","Spermatocytes",2,NA,"UP000138183"
"4042","Spermatogonia",2,NA,"UP000138183"
"4043","Squamous epithelial cells",2,NA,"UP000138183"
"4044","Suprabasal keratinocytes",2,NA,"UP000138183"
"4045","Syncytiotrophoblasts",2,NA,"UP000138183"
"4046","T-cells",2,NA,"UP000138183"
"4047","Undifferentiated cells",2,NA,"UP000138183"
"4048","dendritic cells",2,NA,"UP000138183"
"4049","granulocytes",2,NA,"UP000138183"
"4050","monocytes",2,NA,"UP000138183"
"4051","Adipocytes",1,NA,"UP000161306"
"4052","Alveolar cells type 1",1,NA,"UP000161306"
"4053","Alveolar cells type 2",1,NA,"UP000161306"
"4054","Astrocytes",1,NA,"UP000161306"
"4055","B-cells",1,NA,"UP000161306"
"4056","Basal keratinocytes",1,NA,"UP000161306"
"4057","Basal prostatic cells",1,NA,"UP000161306"
"4058","Basal respiratory cells",1,NA,"UP000161306"
"4059","Basal squamous epithelial cells",1,NA,"UP000161306"
"4060","Bipolar cells",1,NA,"UP000161306"
"4061","Breast glandular cells",1,NA,"UP000161306"
"4062","Breast myoepithelial cells",1,NA,"UP000161306"
"4063","Cardiomyocytes",1,NA,"UP000161306"
"4064","Cholangiocytes",1,NA,"UP000161306"
"4065","Ciliated cells",1,NA,"UP000161306"
"4066","Club cells",1,NA,"UP000161306"
"4067","Collecting duct cells",1,NA,"UP000161306"
"4068","Cone photoreceptor cells",1,NA,"UP000161306"
"4069","Cytotrophoblasts",1,NA,"UP000161306"
"4070","Distal enterocytes",1,NA,"UP000161306"
"4071","Distal tubular cells",1,NA,"UP000161306"
"4072","Ductal cells",1,NA,"UP000161306"
"4073","Early spermatids",1,NA,"UP000161306"
"4074","Endometrial stromal cells",1,NA,"UP000161306"
"4075","Endothelial cells",1,NA,"UP000161306"
"4076","Enteroendocrine cells",1,NA,"UP000161306"
"4077","Erythroid cells",1,NA,"UP000161306"
"4078","Excitatory neurons",1,NA,"UP000161306"
"4079","Exocrine glandular cells",1,NA,"UP000161306"
"4080","Extravillous trophoblasts",1,NA,"UP000161306"
"4081","Fibroblasts",1,NA,"UP000161306"
"4082","Gastric mucus-secreting cells",1,NA,"UP000161306"
"4083","Glandular and luminal cells",1,NA,"UP000161306"
"4084","Granulosa cells",1,NA,"UP000161306"
"4085","Hepatocytes",NA,1,"UP000161306"
"4086","Hofbauer cells",1,NA,"UP000161306"
"4087","Horizontal cells",1,NA,"UP000161306"
"4088","Inhibitory neurons",1,NA,"UP000161306"
"4089","Intestinal goblet cells",1,NA,"UP000161306"
"4090","Ionocytes",1,NA,"UP000161306"
"4091","Kupffer cells",1,NA,"UP000161306"
"4092","Langerhans cells",1,NA,"UP000161306"
"4093","Late spermatids",1,NA,"UP000161306"
"4094","Leydig cells",1,NA,"UP000161306"
"4095","Lymphatic endothelial cells",1,NA,"UP000161306"
"4096","Macrophages",1,NA,"UP000161306"
"4097","Melanocytes",1,NA,"UP000161306"
"4098","Mesothelial cells",1,NA,"UP000161306"
"4099","Microglial cells",1,NA,"UP000161306"
"4100","Mucus glandular cells",1,NA,"UP000161306"
"4101","Muller glia cells",1,NA,"UP000161306"
"4102","NK-cells",1,NA,"UP000161306"
"4103","Oligodendrocyte precursor cells",NA,1,"UP000161306"
"4104","Oligodendrocytes",1,NA,"UP000161306"
"4105","Oocytes",1,NA,"UP000161306"
"4106","Ovarian stromal cells",1,NA,"UP000161306"
"4107","Pancreatic endocrine cells",1,NA,"UP000161306"
"4108","Paneth cells",1,NA,"UP000161306"
"4109","Peritubular cells",NA,1,"UP000161306"
"4110","Plasma cells",1,NA,"UP000161306"
"4111","Prostatic glandular cells",1,NA,"UP000161306"
"4112","Proximal enterocytes",1,NA,"UP000161306"
"4113","Proximal tubular cells",1,NA,"UP000161306"
"4114","Rod photoreceptor cells",NA,1,"UP000161306"
"4115","Salivary duct cells",1,NA,"UP000161306"
"4116","Schwann cells",1,NA,"UP000161306"
"4117","Secretory cells",1,NA,"UP000161306"
"4118","Serous glandular cells",1,NA,"UP000161306"
"4119","Sertoli cells",NA,1,"UP000161306"
"4120","Skeletal myocytes",1,NA,"UP000161306"
"4121","Smooth muscle cells",1,NA,"UP000161306"
"4122","Spermatocytes",NA,1,"UP000161306"
"4123","Spermatogonia",NA,1,"UP000161306"
"4124","Squamous epithelial cells",1,NA,"UP000161306"
"4125","Suprabasal keratinocytes",1,NA,"UP000161306"
"4126","Syncytiotrophoblasts",1,NA,"UP000161306"
"4127","T-cells",1,NA,"UP000161306"
"4128","Undifferentiated cells",1,NA,"UP000161306"
"4129","dendritic cells",1,NA,"UP000161306"
"4130","granulocytes",NA,1,"UP000161306"
"4131","monocytes",1,NA,"UP000161306"
"4132","Adipocytes",1,NA,"UP000180575"
"4133","Alveolar cells type 1",1,NA,"UP000180575"
"4134","Alveolar cells type 2",1,NA,"UP000180575"
"4135","Astrocytes",1,NA,"UP000180575"
"4136","B-cells",1,NA,"UP000180575"
"4137","Basal keratinocytes",1,NA,"UP000180575"
"4138","Basal prostatic cells",1,NA,"UP000180575"
"4139","Basal respiratory cells",1,NA,"UP000180575"
"4140","Basal squamous epithelial cells",1,NA,"UP000180575"
"4141","Bipolar cells",1,NA,"UP000180575"
"4142","Breast glandular cells",1,NA,"UP000180575"
"4143","Breast myoepithelial cells",1,NA,"UP000180575"
"4144","Cardiomyocytes",1,NA,"UP000180575"
"4145","Cholangiocytes",1,NA,"UP000180575"
"4146","Ciliated cells",1,NA,"UP000180575"
"4147","Club cells",1,NA,"UP000180575"
"4148","Collecting duct cells",1,NA,"UP000180575"
"4149","Cone photoreceptor cells",1,NA,"UP000180575"
"4150","Cytotrophoblasts",1,NA,"UP000180575"
"4151","Distal enterocytes",1,NA,"UP000180575"
"4152","Distal tubular cells",1,NA,"UP000180575"
"4153","Ductal cells",1,NA,"UP000180575"
"4154","Early spermatids",1,NA,"UP000180575"
"4155","Endometrial stromal cells",1,NA,"UP000180575"
"4156","Endothelial cells",1,NA,"UP000180575"
"4157","Enteroendocrine cells",1,NA,"UP000180575"
"4158","Erythroid cells",1,NA,"UP000180575"
"4159","Excitatory neurons",NA,1,"UP000180575"
"4160","Exocrine glandular cells",1,NA,"UP000180575"
"4161","Extravillous trophoblasts",1,NA,"UP000180575"
"4162","Fibroblasts",NA,1,"UP000180575"
"4163","Gastric mucus-secreting cells",1,NA,"UP000180575"
"4164","Glandular and luminal cells",1,NA,"UP000180575"
"4165","Granulosa cells",1,NA,"UP000180575"
"4166","Hepatocytes",1,NA,"UP000180575"
"4167","Hofbauer cells",1,NA,"UP000180575"
"4168","Horizontal cells",1,NA,"UP000180575"
"4169","Inhibitory neurons",NA,1,"UP000180575"
"4170","Intestinal goblet cells",1,NA,"UP000180575"
"4171","Ionocytes",1,NA,"UP000180575"
"4172","Kupffer cells",1,NA,"UP000180575"
"4173","Langerhans cells",1,NA,"UP000180575"
"4174","Late spermatids",1,NA,"UP000180575"
"4175","Leydig cells",1,NA,"UP000180575"
"4176","Lymphatic endothelial cells",1,NA,"UP000180575"
"4177","Macrophages",1,NA,"UP000180575"
"4178","Melanocytes",1,NA,"UP000180575"
"4179","Mesothelial cells",1,NA,"UP000180575"
"4180","Microglial cells",1,NA,"UP000180575"
"4181","Mucus glandular cells",1,NA,"UP000180575"
"4182","Muller glia cells",1,NA,"UP000180575"
"4183","NK-cells",1,NA,"UP000180575"
"4184","Oligodendrocyte precursor cells",1,NA,"UP000180575"
"4185","Oligodendrocytes",1,NA,"UP000180575"
"4186","Oocytes",1,NA,"UP000180575"
"4187","Ovarian stromal cells",1,NA,"UP000180575"
"4188","Pancreatic endocrine cells",1,NA,"UP000180575"
"4189","Paneth cells",NA,1,"UP000180575"
"4190","Peritubular cells",1,NA,"UP000180575"
"4191","Plasma cells",1,NA,"UP000180575"
"4192","Prostatic glandular cells",1,NA,"UP000180575"
"4193","Proximal enterocytes",1,NA,"UP000180575"
"4194","Proximal tubular cells",1,NA,"UP000180575"
"4195","Rod photoreceptor cells",1,NA,"UP000180575"
"4196","Salivary duct cells",1,NA,"UP000180575"
"4197","Schwann cells",1,NA,"UP000180575"
"4198","Secretory cells",1,NA,"UP000180575"
"4199","Serous glandular cells",1,NA,"UP000180575"
"4200","Sertoli cells",1,NA,"UP000180575"
"4201","Skeletal myocytes",1,NA,"UP000180575"
"4202","Smooth muscle cells",NA,1,"UP000180575"
"4203","Spermatocytes",NA,1,"UP000180575"
