"","cell_type","0","1","virus"
"441","Hofbauer cells",230,14,"UP000137988"
"442","Horizontal cells",192,52,"UP000137988"
"443","Inhibitory neurons",174,70,"UP000137988"
"444","Intestinal goblet cells",236,8,"UP000137988"
"445","Ionocytes",242,2,"UP000137988"
"446","Kupffer cells",236,8,"UP000137988"
"447","Langerhans cells",233,11,"UP000137988"
"448","Late spermatids",195,49,"UP000137988"
"449","Leydig cells",232,12,"UP000137988"
"450","Lymphatic endothelial cells",238,6,"UP000137988"
"451","Macrophages",238,6,"UP000137988"
"452","Melanocytes",235,9,"UP000137988"
"453","Mesothelial cells",234,10,"UP000137988"
"454","Microglial cells",220,24,"UP000137988"
"455","Mucus glandular cells",241,3,"UP000137988"
"456","Muller glia cells",224,20,"UP000137988"
"457","NK-cells",235,9,"UP000137988"
"458","Oligodendrocyte precursor cells",187,57,"UP000137988"
"459","Oligodendrocytes",188,56,"UP000137988"
"460","Oocytes",207,37,"UP000137988"
"461","Ovarian stromal cells",222,22,"UP000137988"
"462","Pancreatic endocrine cells",242,2,"UP000137988"
"463","Paneth cells",229,15,"UP000137988"
"464","Peritubular cells",231,13,"UP000137988"
"465","Plasma cells",235,9,"UP000137988"
"466","Prostatic glandular cells",230,14,"UP000137988"
"467","Proximal enterocytes",228,16,"UP000137988"
"468","Proximal tubular cells",239,5,"UP000137988"
"469","Rod photoreceptor cells",221,23,"UP000137988"
"470","Salivary duct cells",242,2,"UP000137988"
"471","Schwann cells",238,6,"UP000137988"
"472","Secretory cells",232,12,"UP000137988"
"473","Serous glandular cells",242,2,"UP000137988"
"474","Sertoli cells",231,13,"UP000137988"
"475","Skeletal myocytes",230,14,"UP000137988"
"476","Smooth muscle cells",230,14,"UP000137988"
"477","Spermatocytes",209,35,"UP000137988"
"478","Spermatogonia",215,29,"UP000137988"
"479","Squamous epithelial cells",234,10,"UP000137988"
"480","Suprabasal keratinocytes",227,17,"UP000137988"
"481","Syncytiotrophoblasts",229,15,"UP000137988"
"482","T-cells",237,7,"UP000137988"
"483","Undifferentiated cells",235,9,"UP000137988"
"484","dendritic cells",235,9,"UP000137988"
"485","granulocytes",243,1,"UP000137988"
"486","monocytes",230,14,"UP000137988"
"487","Adipocytes",1,NA,"UP000008448"
"488","Alveolar cells type 1",1,NA,"UP000008448"
"489","Alveolar cells type 2",1,NA,"UP000008448"
"490","Astrocytes",1,NA,"UP000008448"
"491","B-cells",1,NA,"UP000008448"
"492","Basal keratinocytes",1,NA,"UP000008448"
"493","Basal prostatic cells",1,NA,"UP000008448"
"494","Basal respiratory cells",1,NA,"UP000008448"
"495","Basal squamous epithelial cells",1,NA,"UP000008448"
"496","Bipolar cells",1,NA,"UP000008448"
"497","Breast glandular cells",1,NA,"UP000008448"
